Name_of_Influencer,Insta_Handle,Q_Score,Followers,Avg_Likes,Avg_Views,Engagement_Ratio,Location,Categories,Influencer_Tier
We Two & What We Do,odysseyoftwo,8.49,164800,14700,28800,8.96,Chennai,Travel,Mid Tier
Jamshedpur FC,jamshedpurfc,7.67,164700,1900,3400,1.14,Jamshedpur,Sports,Mid Tier
Mansi Wadhwa,mansi_colossalcloset,7.7,164400,2100,41800,1.35,New Delhi,Lifestyle and Fashion,Mid Tier
Robin Sidhu (Rayban),Travel,2.8,164200,0,19000,0.01,Chandigarh,Food and Drink,Mid Tier
Pune Foodie,thepunefoodie,7.49,164100,900,10800,0.57,Pune,Food and Drink,Mid Tier
Dipti Jha,diptijha3,6.42,163700,325,17300,0.22,New Delhi,Food and Drink,Mid Tier
Sidd_Motivation,sidpatill,7.77,163600,2900,14200,1.85,Mumbai,Health and Fitness,Mid Tier
Him Eesh Madaan,himeeshmadaan,7.8,163500,3300,7300,2.03,India,Education,Mid Tier
Total Modification & Modified,total.modification,7.52,163500,900,8300,0.58,India,Business,Mid Tier
Style Highness,stylehighness,8.01,163400,5700,12500,3.47,Delhi,Lifestyle and Fashion,Mid Tier
Get Curried,getcurried,6.64,163200,438,5400,0.27,India,Food and Drink,Mid Tier
Palak Kapoor,whatsupdilli,7.12,163000,681,14900,0.43,New Delhi,Food and Drink,Mid Tier
Smita Vaidya,foodzie_goodzie,7.64,162800,1400,38000,0.89,Bengaluru,Food and Drink,Mid Tier
Zebronics,zebronics,7.07,162700,662,7700,0.41,India,Technology,Mid Tier
Vijender Singh,singhvijender,7.78,161800,3000,19400,1.87,Haryana,Sports,Mid Tier
Arti Sahani,learnlively,7.39,161500,855,52300,0.54,Lucknow,Food and Drink,Mid Tier
Ripu Daman Handa,ripuhanda,7.6,161300,1100,12400,0.67,Mumbai,Food and Drink,Mid Tier
Abhinav Mahajan,abhinavmahajanlife,7.81,161200,3400,53000,2.15,India,Health and Fitness,Mid Tier
Anamika Mishra,anamikawrites,4.21,161000,0,8300,0.03,Delhi,Arts and Entertainment,Mid Tier
Heena Sidhu,heenasidhu10,7.71,160700,2300,2700,1.43,Ludhiana,Sports,Mid Tier
Sheetal,sheetaldorby,7.64,160500,1400,43300,0.91,Bengaluru,Travel,Mid Tier
Ahana Mehta Mehrotra,ahanamehtamehrotra,7.75,160300,2700,90700,1.70,Delhi,Family and Parenting,Mid Tier
Candida Louis,candidalouis,7.89,160000,4300,5900,2.69,Bengaluru,Travel,Mid Tier
Indore Food Explorer�,indorefoodexplorer,2.0,159900,0,17400,0.23,Indore,Food and Drink,Mid Tier
Yadu Priyam,ypmvlogs,8.37,158400,9600,152400,6.13,India,Technology,Mid Tier
Unmukt Chand,unmuktchand_official,8.21,155800,7900,62100,5.08,New Delhi,Sports,Mid Tier
Sakshi Malik,sakshimalik_official,7.98,155400,5400,0,3.47,Rohtak,Sports,Mid Tier
Cricket Universe,cricuniverse,7.62,155000,1200,1000,0.80,India,Sports,Mid Tier
Alfa Skateboards,alfaskateboards,6.06,154900,223,1800,0.14,Assam,Travel,Mid Tier
Trishita Bhattacharya,overrated_outcast,7.68,154500,2000,7000,1.30,Mumbai,Travel,Mid Tier
Dr. Radhika Agarwal,teekhi_mircheee,5.45,153900,122,4700,0.09,New Delhi,Food and Drink,Mid Tier
