Name_of_Influencer,Insta_Handle,Q_Score,Followers,Avg_Likes,Avg_Views,Engagement_Ratio,Location,Categories
Prakriti Varshney,itisinthename,7.9,109.2k,4.4k,13.5k,4.05%,New Delhi,Travel
Sanket Joshi,sanketsjoshi,8.05,109.1k,6k,9.1k,5.57%,India,Photography
Ayushilekhwani,ayushilekhwani,7,109k,617,31.9k,0.57%,Noida,Lifestyle and Fashion
Nikita And Kamal,foodiepunters,6.64,109k,435,3.8k,0.40%,Mumbai,Food and Drink
Rituka Negi Bisht,super_mummarnb,7.9,108.7k,4.3k,31.6k,4.11%,Noida,Family and Parenting
Nisha,diamonds_and_chocolates,7.78,108.5k,3k,73.8k,2.88%,Mumbai,Family and Parenting
Prathap G Tech,prathapgtech,6.8,108.4k,494,4.3k,0.46%,Thrissur,Technology
Deepali Ogale,deepali.ogale,7.95,108.4k,5k,82.8k,4.60%,Mumbai,Health and Fitness
Rashmi,ajisthsmomstyle,7.6,108.4k,1.1k,12.5k,1.00%,Delhi,Lifestyle and Fashion
Rakskitchen,rakskitchen,6.99,108.4k,603,18.2k,0.58%,India,Food and Drink
Mumbai Food Junkie™,mumbaifoodjunkie,2.64,108.2k,0,12.9k,0.01%,Mumbai,Food and Drink
Bangalore  Foodie,bangalorefoodiee,7.13,108.2k,705,11k,0.66%,Bengaluru,Food and Drink
Rishab Dahiya,rishabdahiya,6.95,108.1k,591,4.3k,0.55%,New Delhi,Arts and Entertainment
Manika Dixit,momnbabydiaries,4.65,108k,0,31.4k,0.06%,Delhi,Family and Parenting
Rashmi,rashmi.anaokar.agarwal,7.64,107.8k,1.5k,6.8k,1.41%,Pune,Health and Fitness
Things To Do In Delhi,things2doindelhi,7.05,107.7k,655,8.5k,0.61%,Delhi,Food and Drink
Shivya Nath,shivya,4.51,107.6k,0,0,0.05%,Dehradun,Travel
Chinnuz(I Love My Kerala Food),food_fanatic_me,7.67,107.5k,1.8k,38.9k,1.74%,Thrissur,Food and Drink
Dhoni Raina FC,dhoniraina_team,6.85,107.4k,536,7.6k,0.50%,Chennai,Sports
Yuvika,yuvi.says,7.28,107.3k,741,16.3k,0.75%,Mumbai,Family and Parenting
Ritcha,ritcha,7.6,107.3k,1k,50.8k,0.97%,Mumbai,Lifestyle and Fashion
Neha Gulati,thatfitmum,7.66,107.2k,1.6k,11.7k,1.65%,Delhi,Health and Fitness
Anupreet Sidhu,anupreetsidhu,8.5,107k,15.2k,45.5k,14.28%,Chandigarh,Travel
Naman Jain,delhicravings,6.82,106.7k,508,22.1k,0.49%,Delhi,Food and Drink
Lauren Von Der Pool,queenofgreen,7.61,106.7k,1.2k,11.2k,1.13%,Assam,Food and Drink
Adith,adith_officiall,7.63,106.4k,1.4k,8.7k,1.28%,India,Arts and Entertainment
Vivek Rajput,vivekartiste,6.1,106.3k,223,503,0.23%,Delhi,Technology
Unnatee  ??,unnatipatwa,8.45,106.3k,12.5k,21.8k,11.85%,Mumbai,Lifestyle and Fashion
Lalit Choudhary,lalitchoudhary13,3.65,106.3k,0,2k,0.02%,Mumbai,Lifestyle and Fashion
Virinda Dembla??,virindademblamalik,8.31,106.2k,8.9k,78.1k,8.47%,India,Food and Drink
Amit Bhawani,amitbhawani,7.32,106.2k,818,12.9k,0.78%,Hyderabad,Technology
Sunny Gala,worthashott,7.93,106.1k,4.6k,5k,4.46%,India,Travel
Ashwini Ponnappa,p9ashwini,8.11,106k,6.7k,15.4k,6.37%,Bengaluru,Sports
Shani Dayal | Yoga Teacher,shaniyoga.in,7.31,105.4k,806,4.2k,0.78%,Mumbai,Health and Fitness
Shweta,shwetasawarnik,7.7,105.1k,2.1k,48.1k,2.08%,Delhi,Lifestyle and Fashion
Photography,Photography,6.14,105.1k,249,8.9k,0.24%,Mumbai,Photography
Foodie_muscle_man,foodie_muscle_man,7.79,105k,3.2k,32.5k,3.08%,Kerala,Food and Drink
Bastian,bastianmumbai,6.47,105k,378,4.4k,0.36%,India,Food and Drink
Heena Gulati | New Delhi,heena_gulati89,7.67,104.9k,1.9k,20.5k,1.81%,Delhi,Lifestyle and Fashion
Nameesh,fodyssey,7.66,104.7k,1.7k,1.9k,1.62%,Bengaluru,Food and Drink
Bira 91,bira91beer,7.26,104.5k,776,10.7k,0.76%,New Delhi,Technology
Veena Jan (Official),veenascurryworld,6.65,104.5k,431,31.7k,0.43%,Kerala,Food and Drink
WalkWithChennai,walkwithchennai,7.61,104.5k,1.1k,15.9k,1.09%,Chennai,Food and Drink
